date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:26	19065/19065	---M--	200	added ('OK')	image/png	etag:%22180d153d0c9dc59a095230f807051e10%22	https://static.cryptobriefing.com/wp-content/uploads/2024/04/05153217/follow-us-on-google-news.png	C:/My%20Web%20Sites/crypto/static.cryptobriefing.com/wp-content/uploads/2024/04/05153217/follow-us-on-google-news.png	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:26	141662/141662	---M--	200	added ('OK')	image/png	etag:%2272e6faeb74403b65de4043a5a947db46%22	https://static.cryptobriefing.com/wp-content/uploads/2024/12/23141643/The-price-of-USUAL.png	C:/My%20Web%20Sites/crypto/static.cryptobriefing.com/wp-content/uploads/2024/12/23141643/The-price-of-USUAL.png	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Dec%202024%2005:26:28%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/POST	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/POST	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:27	253375/253375	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202024%2005:26:28%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/Opera%20Mini/	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/Opera%20Mini/index.html	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Dec%202024%2005:26:28%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/OPT/	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/OPT/index.html	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:27	253305/253305	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202024%2005:26:28%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/OPR/	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/OPR/index.html	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:27	8892/8892	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266bdf04b-22bc%22	https://cryptobriefing.com/wp-content/plugins/wp-rocket/assets/js/lazyload/17.8.3/lazyload.min.js	C:/My%20Web%20Sites/crypto/cryptobriefing.com/wp-content/plugins/wp-rocket/assets/js/lazyload/17.8.3/lazyload.min.js	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:29	35/35	---M--	200	added ('OK')	image/gif	date:Tue,%2024%20Dec%202024%2005:26:29%20GMT	http://pixel.quantserve.com/pixel/p-nbsCryJQWMnff.gif	C:/My%20Web%20Sites/crypto/pixel.quantserve.com/pixel/p-nbsCryJQWMnff.gif	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:34	253329/253329	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202024%2005:26:29%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/Chrome/	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/Chrome/index.html	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:35	253313/253313	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202024%2005:26:29%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/Edge/	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/Edge/index.html	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:37	253321/253321	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202024%2005:26:28%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/CriOS/	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/CriOS/index.html	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:39	253337/253337	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202024%2005:26:35%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/Version/	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/Version/index.html	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:39	253345/253345	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202024%2005:26:37%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/IEMobile/	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/IEMobile/index.html	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:39	253329/253329	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202024%2005:26:38%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/WebKit/	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/WebKit/index.html	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Dec%202024%2005:26:31%20GMT	https://cryptobriefing.com/binance-labs-investment-usual-token/Silk/	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/Silk/index.html	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
16:26:40	37763/37763	---M--	200	added ('OK')	image/jpeg	etag:%22bc4a3471894bfa7a0af35404a1d45de0%22	https://static.cryptobriefing.com/wp-content/uploads/2020/12/02092245/silk.jpg	C:/My%20Web%20Sites/crypto/cryptobriefing.com/binance-labs-investment-usual-token/Silk/index.html	(from https://cryptobriefing.com/binance-labs-investment-usual-token/)
